Day,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation
2011-06-07,70.9,67.2,88.5,9.0,29.7,0.0
2011-06-08,73.3,60.5,65.0,6.8,29.9,0.0
2011-06-09,75.9,64.7,68.7,5.8,30.1,0.0
2011-06-10,74.7,70.2,85.7,9.3,29.9,0.0
2011-06-11,76.0,63.3,67.3,9.3,29.8,0.0
2011-06-12,81.2,63.3,56.0,7.8,29.8,0.0
2011-06-13,78.1,66.0,67.6,12.7,29.6,0.0
2011-06-14,70.8,52.5,54.5,13.8,29.8,0.0
2011-06-15,76.4,54.3,47.5,8.9,30.0,0.0
2011-06-16,78.3,63.0,60.2,7.5,29.9,0.0
2011-06-17,79.5,68.2,68.7,7.5,29.9,0.0
2011-06-18,73.3,67.5,82.0,6.4,29.8,0.0
2011-06-19,72.0,60.4,67.3,6.3,30.0,0.0
2011-06-20,72.1,59.2,65.6,7.3,30.2,0.0
2011-06-21,74.0,54.0,51.6,4.0,30.3,0.0
2011-06-22,76.8,64.3,66.5,7.9,30.2,0.0
2011-06-23,76.2,68.8,78.2,5.1,30.1,0.0
2011-06-24,79.5,70.6,75.0,7.4,30.1,0.0
2011-06-25,82.6,68.2,64.0,7.8,30.0,0.0
2011-06-26,81.2,68.7,66.1,7.6,29.9,0.0
2011-06-27,76.2,70.4,82.0,9.4,29.7,0.0
2011-06-28,75.6,68.6,79.5,9.9,29.5,0.0
2011-06-29,78.9,66.1,67.5,6.7,29.6,0.0
2011-06-30,79.6,72.7,79.8,8.1,29.8,0.0
2011-07-01,77.6,71.5,81.6,9.0,29.9,
2011-07-02,78.1,71.8,80.7,12.5,30.1,0.0
2011-07-03,79.1,72.0,78.9,9.8,30.2,0.0
2011-07-04,80.7,72.2,76.0,10.5,30.2,0.0
2011-07-05,82.4,71.8,70.9,10.6,30.2,0.0
2011-07-06,84.5,72.1,67.4,10.1,30.1,0.0
2011-07-07,82.0,70.2,68.1,10.4,30.1,0.0
2011-07-08,79.6,67.6,68.1,7.2,30.1,0.0
2011-07-09,80.7,70.8,72.1,5.1,30.1,0.0
2011-07-10,79.9,72.8,79.1,10.7,29.9,0.0
2011-07-11,79.2,69.9,74.1,6.9,29.9,0.0
2011-07-12,72.6,66.8,82.0,10.3,29.9,0.0
2011-07-13,77.4,69.5,77.1,4.3,30.1,0.0
2011-07-14,82.0,72.9,75.3,6.5,30.3,0.0
2011-07-15,86.0,70.9,62.5,5.6,30.2,0.0
2011-07-16,88.1,69.9,55.9,7.3,30.2,0.0
2011-07-17,86.8,71.4,61.4,4.7,30.1,0.0
2011-07-18,88.1,75.4,66.9,6.9,30.0,0.0
2011-07-19,88.2,75.1,65.5,9.3,29.9,0.0
2011-07-20,86.8,72.3,62.8,10.1,29.9,0.0
2011-07-21,84.3,69.2,61.4,6.0,29.9,0.0
2011-07-22,81.8,71.5,71.4,6.7,29.8,0.0
2011-07-23,81.1,68.8,67.8,7.0,29.7,0.0
2011-07-24,79.8,63.2,57.2,10.4,29.8,0.0
2011-07-25,73.9,56.2,54.6,10.3,30.0,0.0
2011-07-26,75.8,59.4,58.2,6.6,30.0,0.0
2011-07-27,76.4,67.2,74.0,10.1,30.0,0.0
2011-07-28,77.3,68.1,73.7,7.5,29.9,0.0
2011-07-29,76.0,56.6,52.8,8.5,30.1,0.0
2011-07-30,76.3,56.5,51.5,5.0,30.2,0.0
2011-07-31,75.6,65.0,69.9,6.3,30.1,0.0
2011-08-01,73.8,68.7,84.1,7.5,29.9,
2011-08-02,78.7,63.4,61.2,6.3,29.9,0.0
2011-08-03,75.1,64.3,69.5,5.8,29.9,0.0
2011-08-04,75.0,56.8,56.1,9.7,29.9,0.0
2011-08-05,73.3,53.7,51.4,6.1,30.0,0.0
2011-08-06,71.5,64.2,78.1,7.7,30.0,0.0
2011-08-07,76.8,68.2,75.4,8.9,30.0,0.0
2011-08-08,80.6,72.0,75.1,9.6,30.0,0.0
2011-08-09,85.7,71.2,63.2,11.9,29.9,0.0
2011-08-10,79.7,65.4,62.3,6.6,30.0,0.0
2011-08-11,79.0,66.8,66.8,5.4,30.1,0.0
2011-08-12,81.7,67.4,64.5,5.1,30.0,0.0
2011-08-13,78.9,68.3,71.1,8.3,29.8,0.0
2011-08-14,70.8,50.0,48.7,13.3,30.0,0.0
2011-08-15,70.1,49.9,51.5,6.3,30.1,0.0
2011-08-16,72.1,53.7,54.3,2.8,30.1,0.0
2011-08-17,73.0,57.3,60.0,7.7,30.2,0.0
2011-08-18,70.4,60.8,72.0,6.6,30.2,0.0
2011-08-19,71.0,63.3,76.7,6.2,30.1,0.0
2011-08-20,77.6,66.7,70.6,4.8,30.1,0.0
2011-08-21,79.2,71.0,76.8,7.2,30.1,0.0
2011-08-22,79.8,67.0,67.3,7.4,30.0,0.0
2011-08-23,74.9,62.8,66.3,7.2,30.0,0.0
2011-08-24,74.0,58.0,59.9,6.8,30.2,0.0
2011-08-25,73.6,57.0,58.9,5.8,30.3,0.0
2011-08-26,76.5,59.0,56.9,8.1,30.1,0.0
2011-08-27,82.1,65.6,58.6,7.7,29.9,0.0
2011-08-28,78.1,70.2,76.6,5.1,29.9,0.0
2011-08-29,77.4,69.2,76.6,8.5,29.9,0.0
2011-08-30,78.2,67.5,70.4,8.7,30.0,0.0
2011-08-31,81.4,69.2,67.7,10.7,29.8,0.0
2011-09-01,81.8,68.8,66.3,6.7,29.8,
2011-09-02,81.4,69.8,69.4,6.3,29.8,0.0
2011-09-03,80.1,60.1,52.9,10.3,29.8,0.0
2011-09-04,74.4,53.0,48.3,7.8,30.0,0.0
2011-09-05,76.8,55.2,48.7,8.8,30.0,0.0
2011-09-06,69.4,46.9,45.8,7.3,30.2,0.0
2011-09-07,71.8,57.3,61.0,7.0,30.0,0.0
2011-09-08,78.7,61.8,58.1,7.1,29.9,0.0
2011-09-09,73.9,60.0,62.3,7.6,30.1,0.0
2011-09-10,79.1,70.4,75.4,8.8,30.1,0.0
2011-09-11,84.2,71.8,67.9,8.2,30.1,0.0
2011-09-12,79.6,69.2,72.1,8.6,29.8,0.0
2011-09-13,72.9,56.5,58.8,11.6,29.8,0.0
2011-09-14,63.9,44.0,49.4,9.9,30.1,0.0
2011-09-15,67.1,50.7,57.3,5.6,30.1,0.0
2011-09-16,67.7,56.5,68.2,9.1,30.1,0.0
2011-09-17,62.0,42.8,51.6,8.9,30.3,0.0
2011-09-18,63.0,46.6,58.0,4.3,30.3,0.0
2011-09-19,67.5,54.1,63.6,6.4,30.1,0.0
2011-09-20,70.4,57.2,64.0,7.5,30.0,0.0
2011-09-21,69.5,62.2,78.6,10.2,29.8,0.0
2011-09-22,67.2,53.5,64.2,10.1,29.8,0.0
2011-09-23,61.3,43.4,53.0,9.6,30.0,0.0
2011-09-24,62.1,45.4,57.0,6.3,30.0,0.0
2011-09-25,64.8,46.3,55.5,3.4,29.9,0.0
2011-09-26,67.0,52.4,61.4,4.3,30.0,0.0
2011-09-27,66.2,55.0,68.3,4.2,30.2,0.0
2011-09-28,65.5,52.8,64.4,4.5,30.3,0.0
2011-09-29,65.2,53.1,66.8,3.7,30.1,0.0
2011-09-30,65.7,52.4,63.7,3.4,30.0,0.0
2011-10-01,71.3,57.0,63.0,4.9,30.0,
2011-10-02,74.8,59.1,61.3,5.8,30.0,0.0
2011-10-03,74.1,62.4,68.7,4.2,30.1,0.0
2011-10-04,76.5,63.7,67.1,3.2,30.0,0.0
2011-10-05,78.0,65.8,68.2,4.7,30.0,0.0
2011-10-06,77.8,65.5,67.3,8.3,30.0,0.0
2011-10-07,68.0,62.1,81.7,13.0,29.9,0.0
2011-10-08,61.0,45.5,57.8,8.3,30.2,0.0
2011-10-09,59.4,49.1,69.2,12.5,30.3,0.0
2011-10-10,57.9,54.5,88.1,13.6,30.1,0.0
2011-10-11,62.7,59.8,90.0,10.6,29.9,0.0
2011-10-12,64.0,59.5,85.6,11.1,30.1,0.0
2011-10-13,62.8,56.7,81.1,11.1,30.2,0.0
2011-10-14,62.6,53.4,72.8,7.5,30.3,0.0
2011-10-15,63.0,51.6,69.9,3.7,30.2,0.0
2011-10-16,66.2,59.0,77.8,4.5,30.0,0.0
2011-10-17,68.4,61.3,78.7,7.3,29.8,0.0
2011-10-18,61.7,42.6,50.7,7.2,29.9,0.0
2011-10-19,59.8,51.2,73.7,6.4,29.9,0.0
2011-10-20,56.8,33.1,46.7,9.2,30.0,0.0
2011-10-21,56.6,43.5,64.4,6.9,30.1,0.0
2011-10-22,58.0,45.0,63.0,7.3,29.9,0.0
2011-10-23,52.1,35.6,54.3,8.1,29.8,0.0
2011-10-24,47.6,26.0,49.0,9.2,30.0,0.0
2011-10-25,47.5,27.8,50.0,9.2,30.2,0.0
2011-10-26,47.9,28.0,50.7,10.0,30.1,0.0
2011-10-27,53.1,34.7,51.4,5.8,30.1,0.0
2011-10-28,52.8,39.2,61.9,3.2,30.2,0.0
2011-10-29,54.4,40.6,62.0,2.7,30.3,0.0
2011-10-30,56.8,51.8,83.4,4.0,30.2,0.0
2011-10-31,62.0,56.1,81.1,7.0,30.0,0.0
2011-11-01,66.9,59.4,76.9,11.5,29.6,0.0
2011-11-02,60.7,45.0,58.4,6.6,29.7,0.0
2011-11-03,52.1,31.5,47.3,10.9,30.1,0.0
2011-11-04,42.5,21.8,44.5,7.9,30.6,0.0
2011-11-05,49.8,33.3,61.8,2.1,30.6,0.0
2011-11-06,59.0,49.2,70.4,6.9,30.3,0.0
2011-11-07,56.8,48.2,74.7,12.5,29.9,0.0
2011-11-08,46.4,23.4,41.3,10.2,30.2,0.0
2011-11-09,45.8,28.0,52.3,8.6,30.2,0.0
2011-11-10,51.7,25.2,44.3,10.5,30.1,0.0
2011-11-11,50.4,26.5,44.4,8.6,30.2,0.0
2011-11-12,44.1,21.5,43.8,13.2,30.2,0.0
2011-11-13,38.0,17.1,43.4,9.8,30.4,0.0
2011-11-14,41.8,23.9,50.9,5.0,30.3,0.0
2011-11-15,46.7,26.0,54.2,3.5,30.2,0.0
2011-11-16,50.9,47.1,87.3,1.5,30.3,0.0
2011-11-17,56.6,52.5,86.7,5.2,30.1,0.0
2011-11-18,61.7,41.8,56.1,13.4,29.8,0.0
2011-11-19,47.0,24.8,42.2,15.5,30.1,0.0
2011-11-20,41.3,24.3,51.6,9.0,30.5,0.0
2011-11-21,43.9,31.9,66.5,3.2,30.5,0.0
2011-11-22,52.8,44.8,74.5,4.4,30.2,0.0
2011-11-23,46.5,26.1,46.4,16.5,30.1,0.0
2011-11-24,29.8,4.6,34.6,15.2,30.4,0.0
2011-11-25,31.1,8.0,38.3,8.6,30.5,0.0
2011-11-26,39.5,29.8,75.6,6.7,30.1,0.0
2011-11-27,39.5,28.2,76.5,14.5,29.6,0.0
2011-11-28,34.0,14.4,45.0,8.3,30.3,0.0
2011-11-29,36.3,20.1,53.2,8.5,30.6,0.0
2011-11-30,34.5,19.6,55.2,3.4,30.6,0.0
2011-12-01,39.1,25.2,65.3,2.6,30.2,
2011-12-02,44.8,35.4,69.8,3.0,29.9,0.0
2011-12-03,47.2,36.2,66.4,2.0,29.9,0.0
2011-12-04,49.0,41.9,76.9,1.7,30.0,0.0
2011-12-05,58.3,53.3,83.8,7.5,30.0,0.0
2011-12-06,52.0,48.5,87.7,11.8,30.0,0.0
2011-12-07,40.0,29.0,73.1,13.2,30.3,0.0
2011-12-08,31.2,25.7,80.5,8.8,30.5,0.0
2011-12-09,34.8,27.8,88.1,4.2,30.1,0.0
2011-12-10,34.9,15.8,83.3,4.5,30.0,0.0
2011-12-11,34.3,20.8,58.6,3.4,30.3,0.0
2011-12-12,30.6,12.9,49.0,9.0,30.3,0.0
2011-12-13,35.3,16.7,48.4,5.8,30.3,0.0
2011-12-14,38.2,29.7,76.8,8.1,30.1,0.0
2011-12-15,39.4,30.8,73.0,9.3,29.7,0.0
2011-12-16,37.0,22.9,56.9,6.9,30.1,0.0
2011-12-17,37.0,26.2,71.1,4.2,30.0,0.0
2011-12-18,37.3,24.5,62.6,6.0,30.1,0.0
2011-12-19,43.4,26.7,54.4,7.1,30.1,0.0
2011-12-20,51.9,32.8,51.4,8.8,30.1,0.0
2011-12-21,60.9,48.9,65.0,13.0,30.0,0.0
2011-12-22,65.0,58.4,79.5,13.2,29.9,0.0
2011-12-23,59.0,54.1,84.6,10.3,30.0,0.0
2011-12-24,36.8,18.3,47.8,15.6,30.3,0.0
2011-12-25,27.9,10.1,47.8,7.3,30.5,0.0
2011-12-26,35.4,21.5,58.8,5.6,30.3,0.0
2011-12-27,38.7,24.8,59.0,5.1,30.4,0.0
2011-12-28,42.5,26.3,57.6,7.4,30.2,0.0
2011-12-29,47.2,40.7,79.1,6.8,29.8,0.0
2011-12-30,41.1,29.9,69.1,8.7,30.0,0.0
2011-12-31,37.4,19.4,49.0,11.0,30.2,0.0
