,Day,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation
2,2012-05-03,64.8,57.8,78.8,6.0,30.1,0.0
3,2012-05-04,73.5,63.0,71.1,7.7,29.9,0.0
4,2012-05-05,71.6,62.8,74.7,7.1,29.9,0.0
5,2012-05-06,65.6,57.4,75.4,6.6,30.0,0.0
6,2012-05-07,62.8,52.1,70.0,9.3,30.1,0.0
7,2012-05-08,68.2,58.0,70.2,12.3,29.9,0.0
8,2012-05-09,66.9,59.0,76.8,9.3,29.7,0.0
9,2012-05-10,61.3,43.1,54.1,13.1,29.7,0.0
10,2012-05-11,64.0,31.3,35.8,9.9,30.1,0.0
11,2012-05-12,66.8,45.3,48.5,5.1,30.2,0.0
12,2012-05-13,71.0,54.8,57.1,9.5,30.1,0.0
13,2012-05-14,66.4,60.5,81.5,8.7,30.1,0.0
14,2012-05-15,69.8,64.1,83.1,5.5,29.9,0.0
15,2012-05-16,73.3,61.3,68.3,6.0,29.9,0.0
16,2012-05-17,69.0,48.8,50.9,9.5,30.0,0.0
17,2012-05-18,66.6,47.0,51.8,6.0,30.1,0.0
18,2012-05-19,70.0,47.2,45.8,3.5,30.1,0.0
19,2012-05-20,71.4,54.2,56.8,11.0,30.1,0.0
20,2012-05-21,69.9,63.6,80.9,9.3,30.0,0.0
21,2012-05-22,70.1,63.2,78.8,5.1,29.9,0.0
22,2012-05-23,72.8,64.2,75.1,5.4,29.9,0.0
23,2012-05-24,73.3,64.9,76.5,6.7,30.0,0.0
24,2012-05-25,76.2,67.9,76.7,5.9,30.1,0.0
25,2012-05-26,77.1,68.1,74.9,8.1,30.1,0.0
26,2012-05-27,77.6,66.8,70.8,8.7,30.1,0.0
27,2012-05-28,80.3,68.3,67.4,8.3,30.0,0.0
28,2012-05-29,79.4,68.0,70.2,12.6,29.8,0.0
29,2012-05-30,75.4,62.6,66.2,5.8,29.8,0.0
30,2012-05-31,77.4,54.5,47.5,7.8,29.8,0.0
0,2012-06-01,73.6,66.3,79.0,9.5,29.8,
1,2012-06-02,68.2,50.1,55.0,8.2,29.8,0.0
2,2012-06-03,70.1,49.1,49.1,7.6,29.8,0.0
3,2012-06-04,69.6,49.1,49.1,12.6,29.7,0.0
4,2012-06-05,63.2,51.2,66.4,9.6,29.8,0.0
5,2012-06-06,65.8,51.4,61.5,3.6,30.0,0.0
6,2012-06-07,71.2,51.4,53.5,7.7,30.0,0.0
7,2012-06-08,74.5,51.2,46.4,7.2,30.0,0.0
8,2012-06-09,80.2,53.9,43.6,6.5,30.0,0.0
9,2012-06-10,81.3,61.1,53.5,5.7,30.1,0.0
10,2012-06-11,80.5,63.6,58.4,9.0,30.1,0.0
11,2012-06-12,74.9,70.4,85.7,8.9,29.9,0.0
12,2012-06-13,74.5,57.0,58.1,14.8,29.9,0.0
13,2012-06-14,73.8,57.6,57.3,10.3,30.1,0.0
14,2012-06-15,73.2,56.2,58.0,7.3,30.2,0.0
15,2012-06-16,72.7,52.1,49.8,7.0,30.3,0.0
16,2012-06-17,69.2,54.8,60.5,6.3,30.1,0.0
17,2012-06-18,66.1,59.4,78.9,7.2,30.1,0.0
18,2012-06-19,76.9,66.4,70.6,6.1,30.1,0.0
19,2012-06-20,86.4,68.5,58.6,4.7,30.1,0.0
20,2012-06-21,88.3,69.5,56.8,5.1,29.9,0.0
21,2012-06-22,84.7,67.6,58.3,8.6,29.8,0.0
22,2012-06-23,81.9,59.9,51.7,7.5,29.9,0.0
23,2012-06-24,82.7,60.0,48.2,6.3,29.9,0.0
24,2012-06-25,80.3,58.0,49.5,12.7,29.8,0.0
25,2012-06-26,72.5,44.4,37.3,14.3,29.8,0.0
26,2012-06-27,78.6,49.1,36.6,11.3,29.9,0.0
27,2012-06-28,83.5,56.5,42.1,7.0,29.8,0.0
28,2012-06-29,87.8,69.1,56.5,10.4,29.7,0.0
29,2012-06-30,84.9,66.8,59.5,5.2,29.8,0.0
0,2012-07-01,88.8,67.4,52.5,7.1,29.9,
1,2012-07-02,85.9,62.2,46.7,8.2,29.9,0.0
2,2012-07-03,85.4,63.6,51.7,6.5,29.9,0.0
3,2012-07-04,87.6,67.6,53.3,6.7,29.9,0.0
4,2012-07-05,90.3,66.0,45.8,8.2,29.8,0.0
5,2012-07-06,90.3,64.2,44.1,6.3,29.9,0.0
6,2012-07-07,93.2,69.4,49.6,7.0,29.9,0.0
7,2012-07-08,89.2,72.2,58.8,6.2,29.8,0.0
8,2012-07-09,79.2,68.8,72.4,7.7,29.9,0.0
9,2012-07-10,78.7,67.7,70.8,9.2,30.0,0.0
10,2012-07-11,80.3,64.8,62.1,6.3,30.1,0.0
11,2012-07-12,80.2,60.5,52.7,6.0,30.2,0.0
12,2012-07-13,81.6,60.0,48.5,3.7,30.2,0.0
13,2012-07-14,79.3,68.3,70.1,5.6,30.2,0.0
14,2012-07-15,83.2,71.5,70.5,7.3,30.1,0.0
15,2012-07-16,86.0,69.9,59.8,7.9,29.9,0.0
16,2012-07-17,89.4,66.7,50.0,5.6,29.9,0.0
17,2012-07-18,87.7,69.5,56.4,8.4,29.9,0.0
18,2012-07-19,83.3,69.8,65.6,10.4,29.9,0.0
19,2012-07-20,76.0,70.9,84.0,9.1,29.9,0.0
20,2012-07-21,69.5,65.5,87.6,8.7,30.1,0.0
21,2012-07-22,74.8,67.3,78.1,3.7,30.1,0.0
22,2012-07-23,81.7,70.7,71.4,6.0,30.0,0.0
23,2012-07-24,83.3,69.6,64.3,9.2,29.8,0.0
24,2012-07-25,80.7,56.0,44.7,7.6,29.9,0.0
25,2012-07-26,85.5,69.4,60.2,11.1,29.7,0.0
26,2012-07-27,85.8,69.5,59.7,6.7,29.8,0.0
27,2012-07-28,84.0,67.5,59.9,9.1,29.9,0.0
28,2012-07-29,80.8,65.8,61.8,7.5,30.0,0.0
29,2012-07-30,81.1,68.8,67.3,6.6,30.0,0.0
30,2012-07-31,80.9,68.7,67.5,7.2,29.9,0.0
0,2012-08-01,80.5,68.5,67.6,6.3,29.9,
1,2012-08-02,84.1,70.0,64.2,5.5,29.9,0.0
2,2012-08-03,84.7,70.3,63.7,8.9,30.0,0.0
3,2012-08-04,86.9,71.1,61.8,10.6,30.1,0.0
4,2012-08-05,84.9,70.8,64.3,12.3,30.1,0.0
5,2012-08-06,83.3,69.9,65.4,6.2,30.0,0.0
6,2012-08-07,81.8,70.9,70.2,5.0,30.0,0.0
7,2012-08-08,83.3,70.5,66.6,4.7,29.9,0.0
8,2012-08-09,84.5,67.5,59.9,7.8,29.9,0.0
9,2012-08-10,78.8,69.9,74.9,9.5,29.8,0.0
10,2012-08-11,78.3,68.9,74.0,9.1,29.9,0.0
11,2012-08-12,78.8,59.9,53.9,5.2,29.9,0.0
12,2012-08-13,80.6,61.9,54.7,5.7,30.0,0.0
13,2012-08-14,80.5,69.0,69.5,6.6,29.9,0.0
14,2012-08-15,79.5,65.0,61.7,7.3,29.9,0.0
15,2012-08-16,80.7,59.4,51.1,6.4,29.9,0.0
16,2012-08-17,80.5,63.3,58.5,9.6,29.8,0.0
17,2012-08-18,76.3,61.6,63.5,7.4,29.9,0.0
18,2012-08-19,73.0,63.6,72.5,3.6,29.9,0.0
19,2012-08-20,72.8,63.8,74.4,5.4,29.9,0.0
20,2012-08-21,73.8,61.7,67.8,4.1,30.0,0.0
21,2012-08-22,76.1,63.7,66.3,5.1,30.1,0.0
22,2012-08-23,78.5,64.0,63.6,3.3,30.1,0.0
23,2012-08-24,79.2,64.0,61.1,3.0,30.1,0.0
24,2012-08-25,75.7,65.4,70.7,10.4,30.2,0.0
25,2012-08-26,74.3,69.6,84.8,9.4,30.2,0.0
26,2012-08-27,77.8,69.0,75.8,4.6,30.1,0.0
27,2012-08-28,80.9,65.8,63.5,7.9,29.9,0.0
28,2012-08-29,77.4,59.4,55.3,4.8,30.0,0.0
29,2012-08-30,79.0,62.9,59.5,3.4,30.1,0.0
30,2012-08-31,84.8,65.2,57.7,7.2,30.1,0.0
0,2012-09-01,82.1,69.7,67.3,6.1,30.0,
1,2012-09-02,78.8,72.1,80.2,2.9,30.0,0.0
2,2012-09-03,79.7,72.2,78.4,6.3,30.0,0.0
3,2012-09-04,80.5,72.5,77.1,9.0,29.9,0.0
4,2012-09-05,81.9,72.8,74.0,8.5,29.8,0.0
5,2012-09-06,78.5,72.1,81.2,6.0,29.9,0.0
6,2012-09-07,79.4,69.1,72.1,7.2,29.9,0.0
7,2012-09-08,75.3,68.6,80.3,13.7,29.7,0.0
8,2012-09-09,70.7,52.6,55.3,9.3,29.9,0.0
9,2012-09-10,68.2,48.1,50.2,11.0,30.1,0.0
10,2012-09-11,67.8,47.5,51.8,4.3,30.3,0.0
11,2012-09-12,69.5,53.2,58.1,5.5,30.3,0.0
12,2012-09-13,71.0,57.0,63.2,3.7,30.3,0.0
13,2012-09-14,72.9,60.6,66.9,4.6,30.2,0.0
14,2012-09-15,70.8,50.0,49.8,10.3,30.1,0.0
15,2012-09-16,67.9,51.3,56.7,4.2,30.1,0.0
16,2012-09-17,69.3,60.3,73.4,7.0,30.0,0.0
17,2012-09-18,72.1,67.9,86.7,15.2,29.7,0.0
18,2012-09-19,65.5,47.5,53.5,9.2,30.0,0.0
19,2012-09-20,65.1,51.0,61.8,5.1,30.1,0.0
20,2012-09-21,69.5,57.8,67.1,6.3,30.0,0.0
21,2012-09-22,75.4,61.0,62.0,12.0,29.9,0.0
22,2012-09-23,63.2,42.1,46.8,9.3,30.1,0.0
23,2012-09-24,62.0,41.7,49.4,6.8,30.2,0.0
24,2012-09-25,65.2,48.9,57.3,9.9,30.1,0.0
25,2012-09-26,73.4,59.7,63.1,10.6,30.1,0.0
26,2012-09-27,73.9,62.8,69.9,6.0,30.1,0.0
27,2012-09-28,71.4,59.6,68.6,6.7,30.0,0.0
28,2012-09-29,64.3,47.7,55.6,9.1,30.0,0.0
29,2012-09-30,63.2,47.2,57.9,6.5,29.9,0.0
0,2012-10-01,62.7,50.2,65.1,3.9,29.9,
1,2012-10-02,69.6,66.3,89.5,4.7,29.9,0.0
2,2012-10-03,74.0,68.1,83.0,2.9,30.0,0.0
3,2012-10-04,74.7,65.0,73.3,5.0,30.1,0.0
4,2012-10-05,71.3,56.8,62.5,4.6,30.1,0.0
5,2012-10-06,65.6,53.4,66.1,11.1,29.9,0.0
6,2012-10-07,52.9,44.1,73.2,6.3,30.1,0.0
7,2012-10-08,50.1,41.2,71.8,7.9,30.2,0.0
8,2012-10-09,55.0,47.8,77.1,8.1,30.1,0.0
9,2012-10-10,60.8,49.9,69.6,6.5,30.0,0.0
10,2012-10-11,55.2,31.3,45.6,8.1,30.2,0.0
11,2012-10-12,55.3,35.0,54.0,9.8,30.2,0.0
12,2012-10-13,51.0,29.1,50.0,6.8,30.4,0.0
13,2012-10-14,62.9,49.5,63.6,11.5,30.1,0.0
14,2012-10-15,67.0,57.5,71.6,11.7,29.8,0.0
15,2012-10-16,57.9,41.7,55.8,7.5,29.9,0.0
16,2012-10-17,57.2,46.0,68.3,4.2,29.9,0.0
17,2012-10-18,62.5,53.2,72.8,9.8,29.9,0.0
18,2012-10-19,66.7,60.9,82.1,5.8,29.7,0.0
19,2012-10-20,59.5,43.3,57.2,5.5,29.8,0.0
20,2012-10-21,57.6,38.8,51.1,6.9,30.1,0.0
21,2012-10-22,60.1,42.3,55.3,3.7,30.1,0.0
22,2012-10-23,65.7,51.7,62.9,3.8,30.1,0.0
23,2012-10-24,68.8,54.7,63.4,3.0,30.1,0.0
24,2012-10-25,64.8,58.8,81.4,5.8,30.2,0.0
25,2012-10-26,64.8,58.8,81.4,5.8,30.1,0.0
26,2012-10-27,63.2,53.6,72.2,9.9,29.9,0.0
27,2012-10-28,58.5,48.1,69.3,16.8,29.7,0.0
28,2012-10-29,51.0,46.4,84.5,25.1,29.1,0.0
29,2012-10-30,43.3,39.1,85.6,13.2,29.2,0.0
30,2012-10-31,47.9,37.5,68.7,6.8,29.6,0.0
0,2012-11-01,48.8,33.0,57.8,6.4,29.7,
1,2012-11-02,47.8,27.8,52.2,11.5,29.8,0.0
2,2012-11-03,46.7,28.8,50.0,11.4,30.0,0.0
3,2012-11-04,44.9,27.4,54.1,7.7,30.1,0.0
4,2012-11-05,44.3,26.2,49.6,9.7,30.1,0.0
5,2012-11-06,41.2,26.7,57.3,7.5,30.1,0.0
6,2012-11-07,42.2,27.3,55.7,12.7,29.9,0.0
7,2012-11-08,47.2,18.9,34.6,14.9,29.9,0.0
8,2012-11-09,48.3,23.1,55.8,8.6,30.2,0.0
9,2012-11-10,50.9,38.3,64.9,2.4,30.3,0.0
10,2012-11-11,54.0,41.7,66.0,5.4,30.4,0.0
11,2012-11-12,60.0,51.6,74.3,7.7,30.3,0.0
12,2012-11-13,46.1,36.0,69.9,14.3,30.4,0.0
13,2012-11-14,41.8,26.8,56.0,8.1,30.5,0.0
14,2012-11-15,44.8,27.2,61.9,6.4,30.4,0.0
15,2012-11-16,46.7,24.4,52.7,7.2,30.4,0.0
16,2012-11-17,45.2,29.0,54.9,7.5,30.5,0.0
17,2012-11-18,46.8,37.3,69.7,9.6,30.6,0.0
18,2012-11-19,49.9,37.5,62.9,9.4,30.4,0.0
19,2012-11-20,49.4,39.4,69.2,3.4,30.1,0.0
20,2012-11-21,47.6,30.6,61.3,4.5,30.2,0.0
21,2012-11-22,46.3,28.3,58.4,2.2,30.2,0.0
22,2012-11-23,49.5,26.1,55.9,6.7,29.9,0.0
23,2012-11-24,40.3,18.2,41.1,15.4,30.0,0.0
24,2012-11-25,37.7,19.7,48.8,6.1,30.0,0.0
25,2012-11-26,44.4,26.1,53.6,2.1,30.1,0.0
26,2012-11-27,41.9,30.6,80.1,10.3,30.2,0.0
27,2012-11-28,42.5,21.3,49.8,8.5,30.3,0.0
28,2012-11-29,40.6,25.8,57.5,4.6,30.4,0.0
29,2012-11-30,42.8,29.9,65.8,2.1,30.3,0.0
0,2012-12-01,42.3,37.1,81.9,3.3,30.4,
1,2012-12-02,44.9,40.5,85.0,4.3,30.3,0.0
2,2012-12-03,56.5,48.8,76.8,3.4,30.2,0.0
3,2012-12-04,59.0,49.6,72.3,7.5,30.1,0.0
4,2012-12-05,54.5,33.6,48.8,13.5,30.1,0.0
5,2012-12-06,38.6,22.3,52.7,7.3,30.3,0.0
6,2012-12-07,45.5,37.6,77.2,5.8,30.1,0.0
7,2012-12-08,49.8,47.7,92.6,4.2,29.9,0.0
8,2012-12-09,49.9,47.5,92.0,5.8,30.1,0.0
9,2012-12-10,54.8,53.0,94.0,7.2,29.7,0.0
10,2012-12-11,48.2,29.5,59.6,12.7,30.0,0.0
11,2012-12-12,42.6,26.9,54.2,7.2,30.4,0.0
12,2012-12-13,42.3,24.1,49.5,7.0,30.4,0.0
13,2012-12-14,41.3,25.8,64.9,5.3,30.3,0.0
14,2012-12-15,45.2,24.4,64.3,4.4,30.2,0.0
15,2012-12-16,48.3,44.2,85.3,3.7,30.0,0.0
16,2012-12-17,51.6,49.1,91.8,5.0,29.7,0.0
17,2012-12-18,52.7,39.4,68.9,9.1,29.6,0.0
18,2012-12-19,45.9,23.9,62.6,7.9,30.0,0.0
19,2012-12-20,46.1,29.7,70.5,6.8,29.9,0.0
20,2012-12-21,47.1,32.2,60.9,16.0,29.4,0.0
21,2012-12-22,40.0,19.5,44.3,16.6,29.8,0.0
22,2012-12-23,38.0,21.7,53.4,5.1,30.0,0.0
23,2012-12-24,36.9,30.4,81.2,3.8,30.0,0.0
24,2012-12-25,40.2,32.1,79.5,6.1,30.1,0.0
25,2012-12-26,37.0,32.0,86.6,14.1,29.8,0.0
26,2012-12-27,38.5,27.9,69.5,14.7,29.7,0.0
27,2012-12-28,38.7,25.5,59.5,6.5,30.1,0.0
28,2012-12-29,37.5,23.0,81.3,4.3,29.8,0.0
29,2012-12-30,38.2,19.5,47.4,15.0,30.1,0.0
30,2012-12-31,35.7,21.7,57.6,6.6,30.2,0.0
