,date,temperature,dew_point,humidity,wind_speed,pressure,season,year,month,weekday,casual,casual_revenue,registered,registered_revenue,bikes_count,total_revenue,holiday_holiday,holiday_not a holiday,working_day_weekend,working_day_working day,weather_condition_Clear_Partly cloudy,"weather_condition_Light Snow, Light Rain",weather_condition_Mist_Cloudy
54,2011-02-24,42.8,32.8,71.4,11.2,30.1,1,2011,2,4,100,800,1707,7681.5,1807,8481.5,0,1,0,1,0,0,1
55,2011-02-25,49.5,41.8,77.5,13.3,29.6,1,2011,2,5,120,960,1341,6034.5,1461,6994.5,0,1,0,1,0,0,1
56,2011-02-26,41.3,25.3,53.8,7.8,30.1,1,2011,2,6,424,3392,1545,6952.5,1969,10344.5,0,1,1,0,1,0,0
57,2011-02-27,46.4,35.6,68.3,5,30,1,2011,2,0,694,5552,1708,7686,2402,13238,0,1,1,0,1,0,0
58,2011-02-28,54.1,49.9,87.2,11.6,29.7,1,2011,2,1,81,648,1365,6142.5,1446,6790.5,0,1,0,1,0,0,1
59,2011-03-01,39.7,23.6,54.1,9,30.2,1,2011,3,2,137,1096,1714,7713,1851,8809,0,1,0,1,1,0,0
60,2011-03-02,46.4,23.5,45,13.4,30.2,1,2011,3,3,231,1848,1903,8563.5,2134,10411.5,0,1,0,1,1,0,0
61,2011-03-03,33.3,6.5,33.4,9.1,30.6,1,2011,3,4,123,984,1562,7029,1685,8013,0,1,0,1,1,0,0
62,2011-03-04,39.4,25,61.1,8.4,30.6,1,2011,3,5,214,1712,1730,7785,1944,9497,0,1,0,1,0,0,1
63,2011-03-05,48.9,43.4,83.1,10.6,30.3,1,2011,3,6,640,5120,1437,6466.5,2077,11586.5,0,1,1,0,0,0,1
64,2011-03-06,48.4,47.6,97.3,13.9,29.8,1,2011,3,0,114,912,491,2209.5,605,3121.5,0,1,1,0,0,0,1
65,2011-03-07,38.4,22.6,60.8,15.8,30,1,2011,3,1,244,1952,1628,7326,1872,9278,0,1,0,1,1,0,0
66,2011-03-08,42.1,19,42.8,4.8,30.5,1,2011,3,2,316,2528,1817,8176.5,2133,10704.5,0,1,0,1,1,0,0
67,2011-03-09,41.8,34.7,79.3,8.9,30.4,1,2011,3,3,191,1528,1700,7650,1891,9178,0,1,0,1,0,0,1
68,2011-03-10,52,51.6,98.8,12.2,29.8,1,2011,3,4,46,368,577,2596.5,623,2964.5,0,1,0,1,0,1,0
69,2011-03-11,44.5,32.5,70.6,8.5,29.8,1,2011,3,5,247,1976,1730,7785,1977,9761,0,1,0,1,0,0,1
70,2011-03-12,45,30.3,60.6,8.9,29.9,1,2011,3,6,724,5792,1408,6336,2132,12128,0,1,1,0,1,0,0
71,2011-03-13,50.5,27.9,53,11.1,30.1,1,2011,3,0,982,7856,1435,6457.5,2417,14313.5,0,1,1,0,1,0,0
72,2011-03-14,45,26.4,49.8,6.2,30.3,1,2011,3,1,359,2872,1687,7591.5,2046,10463.5,0,1,0,1,1,0,0
73,2011-03-15,44.1,32.7,68.6,7.7,30.4,1,2011,3,2,289,2312,1767,7951.5,2056,10263.5,0,1,0,1,0,0,1
74,2011-03-16,47.2,41.9,83.3,8.3,30.1,1,2011,3,3,321,2568,1871,8419.5,2192,10987.5,0,1,0,1,0,0,1
75,2011-03-17,53,39.1,60.4,8.6,30.2,1,2011,3,4,424,3392,2320,10440,2744,13832,0,1,0,1,1,0,0
76,2011-03-18,63.8,45.5,52.8,9.5,29.9,1,2011,3,5,884,7072,2355,10597.5,3239,17669.5,0,1,0,1,1,0,0
77,2011-03-19,58,29.9,38.7,15.7,30.2,1,2011,3,6,1424,11392,1693,7618.5,3117,19010.5,0,1,1,0,1,0,0
78,2011-03-20,45.7,26.1,47.5,9,30.5,1,2011,3,0,1047,8376,1424,6408,2471,14784,0,1,1,0,1,0,0
79,2011-03-21,53,45,75.1,11.8,30.1,2,2011,3,1,401,3208,1676,7542,2077,10750,0,1,0,1,0,0,1
80,2011-03-22,55.4,42,63,9.4,29.9,2,2011,3,2,460,3680,2243,10093.5,2703,13773.5,0,1,0,1,1,0,0
81,2011-03-23,47,43,85.7,10.9,29.6,2,2011,3,3,203,1624,1918,8631,2121,10255,0,1,0,1,0,0,1
82,2011-03-24,41.1,35.8,85.5,10.7,29.7,2,2011,3,4,166,1328,1699,7645.5,1865,8973.5,0,1,0,1,0,0,1
83,2011-03-25,39.5,21.3,50.4,10,30,2,2011,3,5,300,2400,1910,8595,2210,10995,0,1,0,1,1,0,0
84,2011-03-26,39.2,16.1,40.5,8.5,30,2,2011,3,6,981,7848,1515,6817.5,2496,14665.5,0,1,1,0,1,0,0
85,2011-03-27,38,20.6,52.8,7.7,30,2,2011,3,0,472,3776,1221,5494.5,1693,9270.5,0,1,1,0,0,0,1
86,2011-03-28,39,9.8,31.4,9.2,30.1,2,2011,3,1,222,1776,1806,8127,2028,9903,0,1,0,1,1,0,0
87,2011-03-29,43.1,14,32.1,9.5,30.2,2,2011,3,2,317,2536,2108,9486,2425,12022,0,1,0,1,1,0,0
88,2011-03-30,41.2,33,75.6,8,30,2,2011,3,3,168,1344,1368,6156,1536,7500,0,1,0,1,0,0,1
89,2011-03-31,39.6,37.7,92.6,9.1,29.8,2,2011,3,4,179,1432,1506,6777,1685,8209,0,1,0,1,0,1,0
90,2011-04-01,42.2,33,75.6,10.5,29.6,2,2011,4,5,307,2456,1920,8640,2227,11096,0,1,0,1,0,0,1
91,2011-04-02,44.4,28.7,67.8,10.8,29.7,2,2011,4,6,898,7184,1354,6093,2252,13277,0,1,1,0,0,0,1
92,2011-04-03,50.4,24,47.9,7.4,30,2,2011,4,0,1651,13208,1598,7191,3249,20399,0,1,1,0,1,0,0
93,2011-04-04,67.2,41.8,43.1,16.1,29.6,2,2011,4,1,734,5872,2381,10714.5,3115,16586.5,0,1,0,1,1,0,0
94,2011-04-05,54,44.1,71.8,16.4,29.5,2,2011,4,2,167,1336,1628,7326,1795,8662,0,1,0,1,0,0,1
95,2011-04-06,51.1,22.3,47.2,11.1,30,2,2011,4,3,413,3304,2395,10777.5,2808,14081.5,0,1,0,1,1,0,0
96,2011-04-07,55.1,40.7,60.2,7,30,2,2011,4,4,571,4568,2570,11565,3141,16133,0,1,0,1,1,0,0
97,2011-04-08,45.6,41.6,86.5,10.5,30.1,2,2011,4,5,172,1376,1299,5845.5,1471,7221.5,0,1,0,1,0,0,1
98,2011-04-09,46.3,43,88.7,6.4,30.1,2,2011,4,6,879,7032,1576,7092,2455,14124,0,1,1,0,0,0,1
99,2011-04-10,53.7,49.5,86,6,30.1,2,2011,4,0,1188,9504,1707,7681.5,2895,17185.5,0,1,1,0,0,0,1
100,2011-04-11,67.4,58.3,75.7,13.1,29.8,2,2011,4,1,855,6840,2493,11218.5,3348,18058.5,0,1,0,1,0,0,1
101,2011-04-12,60,52,76.3,12.9,29.7,2,2011,4,2,257,2056,1777,7996.5,2034,10052.5,0,1,0,1,0,0,1
102,2011-04-13,51.7,47.7,87.5,9.8,29.8,2,2011,4,3,209,1672,1953,8788.5,2162,10460.5,0,1,0,1,0,0,1
103,2011-04-14,57.7,39.4,54.1,5,30.1,2,2011,4,4,529,4232,2738,12321,3267,16553,0,1,0,1,1,0,0
104,2011-04-15,55.5,44.9,68.7,10.3,30.3,2,2011,4,5,642,5136,2484,11178,3126,16314,1,0,1,0,1,0,0
105,2011-04-16,57.4,54,88.7,18.1,29.7,2,2011,4,6,121,968,674,3033,795,4001,0,1,1,0,0,1,0
106,2011-04-17,57.1,30.7,47.9,12.6,29.8,2,2011,4,0,1558,12464,2186,9837,3744,22301,0,1,1,0,1,0,0
107,2011-04-18,61.8,44.5,55.2,6.8,29.9,2,2011,4,1,669,5352,2760,12420,3429,17772,0,1,0,1,1,0,0
108,2011-04-19,61.4,50,66.4,6.3,30,2,2011,4,2,409,3272,2795,12577.5,3204,15849.5,0,1,0,1,0,0,1
109,2011-04-20,70.5,53.3,59.7,11.2,29.8,2,2011,4,3,613,4904,3331,14989.5,3944,19893.5,0,1,0,1,1,0,0
110,2011-04-21,56.9,27.5,41.4,13.6,30.2,2,2011,4,4,745,5960,3444,15498,4189,21458,0,1,0,1,1,0,0
111,2011-04-22,45.9,35.9,75.6,9,30.4,2,2011,4,5,177,1416,1506,6777,1683,8193,0,1,0,1,0,0,1
112,2011-04-23,53,50.2,91.5,8,30.1,2,2011,4,6,1462,11696,2574,11583,4036,23279,0,1,1,0,0,0,1
113,2011-04-24,67.2,62.1,85,6.9,30,2,2011,4,0,1710,13680,2481,11164.5,4191,24844.5,0,1,1,0,0,0,1
114,2011-04-25,67.1,62.1,86.2,6,30,2,2011,4,1,773,6184,3300,14850,4073,21034,0,1,0,1,1,0,0
115,2011-04-26,72.1,63.1,74,13.8,29.9,2,2011,4,2,678,5424,3722,16749,4400,22173,0,1,0,1,1,0,0
116,2011-04-27,71,66.4,85.8,12.7,29.9,2,2011,4,3,547,4376,3325,14962.5,3872,19338.5,0,1,0,1,0,0,1
117,2011-04-28,71.8,61.3,71.5,13.7,29.7,2,2011,4,4,569,4552,3489,15700.5,4058,20252.5,0,1,0,1,0,0,1
118,2011-04-29,61.7,40.3,46,10.1,29.8,2,2011,4,5,878,7024,3717,16726.5,4595,23750.5,0,1,0,1,1,0,0
119,2011-04-30,58.6,39.6,50.1,10.1,30.1,2,2011,4,6,1965,15720,3347,15061.5,5312,30781.5,0,1,1,0,1,0,0
120,2011-05-01,56.6,49,76.2,4.5,30.3,2,2011,5,0,1138,9104,2213,9958.5,3351,19062.5,0,1,1,0,0,0,1
121,2011-05-02,64.4,55.6,73.4,7.8,30.1,2,2011,5,1,847,6776,3554,15993,4401,22769,0,1,0,1,0,0,1
122,2011-05-03,71.3,59.9,68.5,14.5,30,2,2011,5,2,603,4824,3848,17316,4451,22140,0,1,0,1,0,0,1
123,2011-05-04,52.5,44.6,75.9,14,30.1,2,2011,5,3,255,2040,2378,10701,2633,12741,0,1,0,1,0,0,1
124,2011-05-05,56.7,31.2,45,12.1,30.1,2,2011,5,4,614,4912,3819,17185.5,4433,22097.5,0,1,0,1,1,0,0
125,2011-05-06,59.9,43.7,57.1,10.1,29.9,2,2011,5,5,894,7152,3714,16713,4608,23865,0,1,0,1,1,0,0
126,2011-05-07,62.5,44.3,54.1,6.9,29.9,2,2011,5,6,1612,12896,3102,13959,4714,26855,0,1,1,0,1,0,0
127,2011-05-08,63.5,50,63.1,3.6,29.9,2,2011,5,0,1401,11208,2932,13194,4333,24402,0,1,1,0,1,0,0
128,2011-05-09,63.8,47.8,58.7,7.1,29.9,2,2011,5,1,664,5312,3698,16641,4362,21953,0,1,0,1,1,0,0
129,2011-05-10,63.8,43.3,49,5.4,30,2,2011,5,2,694,5552,4109,18490.5,4803,24042.5,0,1,0,1,1,0,0
130,2011-05-11,64.1,51.2,64.7,5,30,2,2011,5,3,550,4400,3632,16344,4182,20744,0,1,0,1,1,0,0
131,2011-05-12,63.5,55.2,75.4,7.8,30,2,2011,5,4,695,5560,4169,18760.5,4864,24320.5,0,1,0,1,1,0,0
132,2011-05-13,62.1,57.9,86.5,7.8,29.9,2,2011,5,5,692,5536,3413,15358.5,4105,20894.5,0,1,0,1,0,0,1
133,2011-05-14,62.5,60.6,93.7,5.1,29.7,2,2011,5,6,902,7216,2507,11281.5,3409,18497.5,0,1,1,0,0,0,1
134,2011-05-15,66.3,62.3,87.8,6.6,29.6,2,2011,5,0,1582,12656,2971,13369.5,4553,26025.5,0,1,1,0,0,0,1
135,2011-05-16,68.2,60.5,78,6.6,29.6,2,2011,5,1,773,6184,3185,14332.5,3958,20516.5,0,1,0,1,1,0,0
136,2011-05-17,66.1,61.2,84.6,12.3,29,2,2011,5,2,678,5424,3445,15502.5,4123,20926.5,0,1,0,1,0,0,1
137,2011-05-18,65,61.3,87.8,8.6,29.8,2,2011,5,3,536,4288,3319,14935.5,3855,19223.5,0,1,0,1,0,0,1
138,2011-05-19,63.4,57.4,81.8,5.1,30,2,2011,5,4,735,5880,3840,17280,4575,23160,0,1,0,1,0,0,1
139,2011-05-20,64.6,54,70.3,6,30,2,2011,5,5,909,7272,4008,18036,4917,25308,0,1,0,1,1,0,0
140,2011-05-21,70,56,63,5.6,30,2,2011,5,6,2258,18064,3547,15961.5,5805,34025.5,0,1,1,0,1,0,0
141,2011-05-22,70.1,60.8,74.2,6.3,30,2,2011,5,0,1576,12608,3084,13878,4660,26486,0,1,1,0,1,0,0
142,2011-05-23,71.2,65.8,84.2,8.5,29.9,2,2011,5,1,836,6688,3438,15471,4274,22159,0,1,0,1,0,0,1
143,2011-05-24,75.4,65.5,73.6,8.6,29.8,2,2011,5,2,659,5272,3833,17248.5,4492,22520.5,0,1,0,1,0,0,1
144,2011-05-25,75.1,63.9,69.9,6.4,29.9,2,2011,5,3,740,5920,4238,19071,4978,24991,0,1,0,1,1,0,0
145,2011-05-26,79.5,67.3,68.2,8.3,29.8,2,2011,5,4,758,6064,3919,17635.5,4677,23699.5,0,1,0,1,1,0,0
146,2011-05-27,76.9,64.7,66.7,11.3,29.9,2,2011,5,5,871,6968,3808,17136,4679,24104,0,1,0,1,1,0,0
147,2011-05-28,74.8,65,72.5,9.3,30,2,2011,5,6,2001,16008,2757,12406.5,4758,28414.5,0,1,1,0,1,0,0
148,2011-05-29,75.5,69.7,82.6,9.2,30.1,2,2011,5,0,2355,18840,2433,10948.5,4788,29788.5,0,1,1,0,1,0,0
149,2011-05-30,83.2,69.5,67.4,5.6,30.1,2,2011,5,1,1549,12392,2549,11470.5,4098,23862.5,1,0,1,0,1,0,0
150,2011-05-31,85.8,70.4,62.6,4.4,30.1,2,2011,5,2,673,5384,3309,14890.5,3982,20274.5,0,1,0,1,1,0,0
151,2011-06-01,85.3,71.5,65.2,9,30,2,2011,6,3,513,4104,3461,15574.5,3974,19678.5,0,1,0,1,0,0,1
152,2011-06-02,80.2,45.6,30.3,12.5,30,2,2011,6,4,736,5888,4232,19044,4968,24932,0,1,0,1,1,0,0
153,2011-06-03,71.3,41.8,35.4,10.8,30.1,2,2011,6,5,898,7184,4414,19863,5312,27047,0,1,0,1,1,0,0
154,2011-06-04,73.5,49.4,44.4,5.1,30.1,2,2011,6,6,1869,14952,3473,15628.5,5342,30580.5,0,1,1,0,1,0,0
155,2011-06-05,74,61.6,65.7,6.1,30,2,2011,6,0,1685,13480,3221,14494.5,4906,27974.5,0,1,1,0,0,0,1
156,2011-06-06,77,59.8,59.7,5.4,30,2,2011,6,1,673,5384,3875,17437.5,4548,22821.5,0,1,0,1,1,0,0
157,2011-06-07,79.4,63.3,59.5,7.9,30,2,2011,6,2,763,6104,4070,18315,4833,24419,0,1,0,1,1,0,0
158,2011-06-08,85.4,69.4,61.9,5.8,29.9,2,2011,6,3,676,5408,3725,16762.5,4401,22170.5,0,1,0,1,1,0,0
159,2011-06-09,88.3,69.3,56.2,6.7,29.9,2,2011,6,4,563,4504,3352,15084,3915,19588,0,1,0,1,0,0,1
160,2011-06-10,82.5,67.1,60.8,7.5,29.9,2,2011,6,5,815,6520,3771,16969.5,4586,23489.5,0,1,0,1,1,0,0
161,2011-06-11,82.2,67.7,62.8,7.2,29.9,2,2011,6,6,1729,13832,3237,14566.5,4966,28398.5,0,1,1,0,1,0,0
162,2011-06-12,79.5,68.8,71.4,8.2,29.8,2,2011,6,0,1467,11736,2993,13468.5,4460,25204.5,0,1,1,0,1,0,0
163,2011-06-13,73,52.1,49,12.9,29.9,2,2011,6,1,863,6904,4157,18706.5,5020,25610.5,0,1,0,1,1,0,0
164,2011-06-14,70.3,50.8,50.5,11.2,29.9,2,2011,6,2,727,5816,4164,18738,4891,24554,0,1,0,1,1,0,0
165,2011-06-15,72.3,49.5,47,8,29.9,2,2011,6,3,769,6152,4411,19849.5,5180,26001.5,0,1,0,1,1,0,0
166,2011-06-16,72.1,62.3,72.3,9.3,29.9,2,2011,6,4,545,4360,3222,14499,3767,18859,0,1,0,1,0,0,1
167,2011-06-17,74.5,64.1,72.7,8,29.9,2,2011,6,5,863,6904,3981,17914.5,4844,24818.5,0,1,0,1,1,0,0
168,2011-06-18,77.7,66.2,69.5,5.2,29.9,2,2011,6,6,1807,14456,3312,14904,5119,29360,0,1,1,0,1,0,0
169,2011-06-19,78.9,66.5,66.3,4.4,29.8,2,2011,6,0,1639,13112,3105,13972.5,4744,27084.5,0,1,1,0,0,0,1
170,2011-06-20,72.5,63.8,74.8,6.2,29.9,2,2011,6,1,699,5592,3311,14899.5,4010,20491.5,0,1,0,1,0,0,1
171,2011-06-21,77.1,69.2,77.4,7.3,29.9,3,2011,6,2,774,6192,4061,18274.5,4835,24466.5,0,1,0,1,0,0,1
172,2011-06-22,81.8,70.8,70.2,7.2,29.8,3,2011,6,3,661,5288,3846,17307,4507,22595,0,1,0,1,1,0,0
173,2011-06-23,81.2,70.5,70.2,9.8,29.7,3,2011,6,4,746,5968,4044,18198,4790,24166,0,1,0,1,0,0,1
174,2011-06-24,80.5,62.9,58.3,9,29.7,3,2011,6,5,969,7752,4022,18099,4991,25851,0,1,0,1,1,0,0
175,2011-06-25,78.8,57.4,48,9,29.8,3,2011,6,6,1782,14256,3420,15390,5202,29646,0,1,1,0,1,0,0
176,2011-06-26,77,57.3,51.3,4.6,30,3,2011,6,0,1920,15360,3385,15232.5,5305,30592.5,0,1,1,0,1,0,0
177,2011-06-27,77.1,64.7,66.3,4.8,30,3,2011,6,1,854,6832,3854,17343,4708,24175,0,1,0,1,0,0,1
178,2011-06-28,83.5,68.5,62,7.7,29.9,3,2011,6,2,732,5856,3916,17622,4648,23478,0,1,0,1,1,0,0
179,2011-06-29,81.3,58.5,49.2,11,29.9,3,2011,6,3,848,6784,4377,19696.5,5225,26480.5,0,1,0,1,1,0,0
180,2011-06-30,78.6,53,43,8.1,30,3,2011,6,4,1027,8216,4488,20196,5515,28412,0,1,0,1,1,0,0
181,2011-07-01,80.8,52,39.7,5.1,30,3,2011,7,5,1246,9968,4116,18522,5362,28490,0,1,0,1,1,0,0
182,2011-07-02,82.3,56.4,44.2,4.9,30,3,2011,7,6,2204,17632,2915,13117.5,5119,30749.5,0,1,1,0,1,0,0
183,2011-07-03,78.2,68.5,73.6,8.4,29.9,3,2011,7,0,2282,18256,2367,10651.5,4649,28907.5,0,1,1,0,0,0,1
184,2011-07-04,81.3,66.8,63.4,3.5,29.9,3,2011,7,1,3065,24520,2978,13401,6043,37921,1,0,1,0,0,0,1
185,2011-07-05,82.9,66.9,59.3,5.6,29.9,3,2011,7,2,1031,8248,3634,16353,4665,24601,0,1,0,1,1,0,0
186,2011-07-06,80.4,71.5,74.4,6.4,29.9,3,2011,7,3,784,6272,3845,17302.5,4629,23574.5,0,1,0,1,1,0,0
187,2011-07-07,81.3,69.3,70,7.2,29.9,3,2011,7,4,754,6032,3838,17271,4592,23303,0,1,0,1,1,0,0
188,2011-07-08,79.3,71.2,76.7,9.1,29.8,3,2011,7,5,692,5536,3348,15066,4040,20602,0,1,0,1,0,0,1
189,2011-07-09,82,65,59.6,7.4,29.9,3,2011,7,6,1988,15904,3348,15066,5336,30970,0,1,1,0,1,0,0
190,2011-07-10,83.1,66,57.6,7.5,30,3,2011,7,0,1743,13944,3138,14121,4881,28065,0,1,1,0,1,0,0
191,2011-07-11,84.6,70,62.4,11.7,29.9,3,2011,7,1,723,5784,3363,15133.5,4086,20917.5,0,1,0,1,1,0,0
192,2011-07-12,87.2,68.5,55.5,8.8,29.8,3,2011,7,2,662,5296,3596,16182,4258,21478,0,1,0,1,1,0,0
193,2011-07-13,81.8,68.8,67.1,7.2,29.8,3,2011,7,3,748,5984,3594,16173,4342,22157,0,1,0,1,1,0,0
194,2011-07-14,77.1,54.9,47.5,10,30,3,2011,7,4,888,7104,4196,18882,5084,25986,0,1,0,1,1,0,0
195,2011-07-15,75.3,59.5,59,7.6,30.1,3,2011,7,5,1318,10544,4220,18990,5538,29534,0,1,0,1,1,0,0
196,2011-07-16,77.7,61.3,58.3,8.7,30.1,3,2011,7,6,2418,19344,3505,15772.5,5923,35116.5,0,1,1,0,1,0,0
